"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
5000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.58479954128591,0.0422101016150102,3.77839753848206,0.813300134962763,2.08743342475035,0.034885324908348,2.60529821426199,0.660921522054389
5000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.01162999927235,0.050181048533413,2.0916771722214,0.549141702109118,2.31940516541762,0.0505932545361648,1.8634265034657,0.85150888684394
5000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.95466621203441,0.0544878742054381,2.88762959752607,0.574246150144466,2.36012675190074,0.0464199905970219,2.77241790212906,0.465006647772936
5000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.2789684745595,0.0541287016936332,2.57682869590078,0.598481180934141,2.32132914293493,0.0480170146773305,2.86701376832419,0.60010245487439
5000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.36143426468667,0.0466585619998378,4.07958008087678,0.451901436932968,2.03157865911781,0.0718479257215851,3.12288772945915,0.584907749593951
5000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.90219826369991,0.0502947802264137,2.54353672650724,0.435020872954394,2.09740948221666,0.0472758561742823,2.41678625549026,0.588545259196374
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",4.19188571628879,0.134000402825363,-0.566535692425356,5.38040458956425,0.846510993070664,0.109374232798909,1.15959009745298,1.63493182431887
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.930298591478096,0.1640214770411,2.91347668293798,1.46141886532713,3.77930644320562,0.190503516536365,5.10118687408449,2.06467351210116
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.364206647920263,1.15997352181632,-3.68875333316327,5.75534748791711,2.32580880443575,0.160354991413327,2.42757435944618,1.82370457704678
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.08133592839484,0.242578195128222,3.75073707000771,0.943432767186441,1.68861293464147,0.23550246076888,2.99390487167208,1.5384780365996
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.00965726372244324,0.0770420334023842,1.75821552530175,1.20669046425098,3.29718343591215,0.0707405333845261,4.84526815290163,1.27775909391178
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.81596087672415,0.149385117668374,0.532991229656393,2.66117874637492,2.08907701604236,0.305832554895832,1.76117354639939,1.21936070993413
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.235927984204752,0.106981429234235,1.67020529080264,1.69706976650068,1.15536608473687,0.18182689049789,0.730380873460015,1.267339569889
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",4.00506280799755,0.14860405924334,4.34654428950531,1.64890240518801,2.27528264679724,0.13762896293689,4.72020895419943,1.15318451484165
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.35163555624076,0.173063424394127,-0.461598177489848,4.23211935182325,1.59589635854713,0.165652557471181,-0.263957680085709,3.06605544015964
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.19602774530746,0.167553575648091,2.08048131228832,1.19908270591978,2.22313588388374,0.145970584390377,5.02513489220331,1.74565274547157
